,Address,Name,City State ZIP,ZIP,Number of Sites,Url,ZIP_str,FULL Address,latitude,longitude
474,"3118 North Us Highway 45 52,",Iroquois Mobile Estates,"Chebanse, IL",60922.0,51,https://www.mhvillage.com/parks/10586,60922.0,"3118 North Us Highway 45 52,Chebanse, IL60922.0",,
475,"312 California Ave,",The Oaks,"Oglesby, IL",61348.0,Not found,https://www.mhvillage.com/parks/57772,61348.0,"312 California Ave,Oglesby, IL61348.0",,
476,"3120 W Chain Rocks Road,",Sunny Shores Mobile Estates,"Granite City, IL",62040.0,130,https://www.mhvillage.com/parks/10976,62040.0,"3120 W Chain Rocks Road,Granite City, IL62040.0",,
477,"3123 W Chain Of Rocks Rd,",Chain Of Rocks,"Granite City, IL",62040.0,Not found,https://www.mhvillage.com/parks/57884,62040.0,"3123 W Chain Of Rocks Rd,Granite City, IL62040.0",,
478,"314 North Jefferson Street,",Cozy Acres,"Millstadt, IL",62260.0,Not found,https://www.mhvillage.com/parks/11407,62260.0,"314 North Jefferson Street,Millstadt, IL62260.0",,
479,"314 S Saint Louis St,",Shady Nook Mobile Home Park,"Elwood, IL",60421.0,80,https://www.mhvillage.com/parks/11565,60421.0,"314 S Saint Louis St,Elwood, IL60421.0",,
480,"319 E Adams St,",Tomlinson Court,"Rushville, IL",62681.0,Not found,https://www.mhvillage.com/parks/57715,62681.0,"319 E Adams St,Rushville, IL62681.0",,
481,"319 West Blackburn Road,",New Haven Mobile Home Park,"Paris, IL",61944.0,Not found,https://www.mhvillage.com/parks/10481,61944.0,"319 West Blackburn Road,Paris, IL61944.0",,
482,"31A Watch-E-Kee Drive,",Watch-E-Kee Mobile Home Park,"Watseka, IL",60970.0,63,https://www.mhvillage.com/parks/10597,60970.0,"31A Watch-E-Kee Drive,Watseka, IL60970.0",,
483,"320 Clear Creek Drive,",Prahls Mobile Home Park,"Neoga, IL",62447.0,Not found,https://www.mhvillage.com/parks/22799,62447.0,"320 Clear Creek Drive,Neoga, IL62447.0",,
484,"3200 North Delta Avenue,",Park City Mobile Home Park,"Decatur, IL",62526.0,519,https://www.mhvillage.com/parks/10888,62526.0,"3200 North Delta Avenue,Decatur, IL62526.0",,
485,"3201 South Douglas Avenue,",Edgewood Mobile Home Park,"Springfield, IL",62704.0,48,https://www.mhvillage.com/parks/11257,62704.0,"3201 South Douglas Avenue,Springfield, IL62704.0",,
486,"3206 E Elm Street,",Brittany Court,"Springfield, IL",62702.0,Not found,https://www.mhvillage.com/parks/111114,62702.0,"3206 E Elm Street,Springfield, IL62702.0",,
487,"321 W Belmont St,",Belmont Court,"Sparta, IL",62286.0,Not found,https://www.mhvillage.com/parks/57701,62286.0,"321 W Belmont St,Sparta, IL62286.0",,
488,"3213 S Belt,",Family Tree Park,"Belleville, IL",62226.0,Not found,https://www.mhvillage.com/parks/107076,62226.0,"3213 S Belt,Belleville, IL62226.0",,
489,"32223 N Us Highway 12,",Fish Lake Beach RV,"Volo, IL",60073.0,Not found,https://www.mhvillage.com/parks/72942,60073.0,"32223 N Us Highway 12,Volo, IL60073.0",,
490,"3263 Aquamarine Dr,",Green Meadows Estates,"Rockford, IL",61102.0,Not found,https://www.mhvillage.com/parks/98849,61102.0,"3263 Aquamarine Dr,Rockford, IL61102.0",,
491,"3303 E Enos Ave,",Sunset,"Springfield, IL",62702.0,Not found,https://www.mhvillage.com/parks/57692,62702.0,"3303 E Enos Ave,Springfield, IL62702.0",,
